Product Code,Category,Sub Category,Brand,Product,Description,Features,Final Price,Image,Related
INGL3090,Gift Vouchers,,Barista,Barista Gift Voucher Worth INR 1000,"<p>Established in February 2000, Barista Lavazza is noted as a pioneer of Indian caf_ culture. The Barista Lavazza chain of Espresso bars delivers a truly Italian coffee experience in warm, friendly and relaxed environment.</p>",,1060.8,INGL3090.jpg,INGL3592 INGL022 INGL3356 INGL3361 INGL3546 INGL3549
INGL3091,Electronics,Mobiles & Accessories,Samsung,Samsung  GALAXY S3,"<p>Samsung is known for smartphones with trendy designs and user-friendly features, but this time they have spared no expense and are bent on beating their own record. Be prepared to enjoy an amazing blend of style, performance and features on the Samsung Galaxy S3. Powered by a 1.4 GHz Quad Core processor, the S3 is based on the Android v4 (Ice Cream Sandwich) operating system. The refined OS promises simplicity and sensibility and you can enjoy easy multitasking, rich notifications, customizable home screens, resizable widgets and easy interactivity.</p>
<p>The Samsung S3 comes with a 4.8-inch HD, capacitive touchscreen that supports 720 x 1280 pixel resolution with 16 M colours and Mali-400 megapixel graphics. The TouchWiz user interface is custom built for the Android OS, making this smartphone versatile and easy to use.</p>","<ul>
<li>Comfortable Grip</li>
<li>4.8-inch HD Super AMOLED Display</li>
<li>Wi-Fi and 3G Enabled</li>
<li>1.4 GHz Quad Core Processor</li>
<li>HD Video Playback</li>
<li>8 MP Primary Camera</li>
<li>High Energy Efficient</li>
<li>Android (Ice Cream Sandwich) OS</li>
<li>Gentle Curves and Lightweight Thin Design</li>
</ul>",27259.5,INGL3091.jpg,INGL3858 INGL3859 INGL3856
INGL3092,Electronics,Tablets,Apple,Apple 16GB iPad 4 with Retina Display and Wi-Fi Cellular (4th Generation),,"<ul>
<li>iOS 6 Operating System and iCloud</li>
<li>A6X Chip with Quad-Core Graphics</li>
<li>5MP iSight camera with 1080p HD video recording and 1.2MP FaceTime HD Camera</li>
<li>9.7 inch Assistive Touchscreen with Retina Display</li>
<li>Wi-Fi Enabled</li>
<li>Internal Storage of 16 GB</li>
<li>Full HD Recording</li>
</ul>",39448.5,INGL3092.jpg,INGL3093 INGL3094 INGL3529
INGL3093,Electronics,Tablets,Apple,Apple iPad 4 wi-fi 16Gb,"<p>Stun the world with the Apple iPad 4 that boasts of a revolutionary Retina display with over 3 million pixels, that is a million times more than an HDTV. This helps showcase life-like images, text with amazing sharpness and videos with fantastic details. Each pixel of the display features multiple signals that instruct it when to light up and make everything look crystal clear. Engineered to impress, the A6X chip in the iPad 4 delivers lightning fast performance and a seamless experience when it comes to graphics and applications. Redefine your entertainment as it comes with the largest collection of more than 2,75,000 applications across every category to use for work, play or school. Surfing the internet is a breeze with its advanced Wi-Fi connectivity and access to multiple networks.</p>","<ul>
<li>Full HD Recording</li>
<li>A6X Chip with Quad-Core Graphics</li>
<li>iOS 6 Operating System and iCloud</li>
<li>9.7 inch Assistive Touchscreen with Retina Display</li>
<li>5MP iSight camera with 1080p HD video recording and 1.2MP FaceTime HD Camera</li>
<li>Wi-Fi Enabled</li>
<li>Internal Storage of 16 GB</li>
</ul>",31620,INGL3093.jpg,INGL3092 INGL3094 INGL3529
INGL3094,Electronics,Tablets,Apple,Apple iPad 4 64gb,,"<ul>
  <li>Brand Apple<br />
  </li>
  <li>Model ID iPad with Retina Display and Wi-Fi Plus Cellular 64GB (4th Gen)<br />
  </li>
  <li>Part Number MD524HN/A</li>
  <li>Processor A6X Chip with Quad-Core Graphics<br />
  </li>
  <li>In The Box Lightning to USB Cable, iPad with Retina Display, USB Power Adapter</li>
</ul>
<p>PLATFORM:<br />
</p>
<ul>
  <li>Operating System iOS 6<br />
  </li>
  <li>Sensors Three-axis Gyro, Ambient Light Sensor, Digital Compass, Accelerometer</li>
</ul>
<p>STORAGE: Internal Storage 64 GB</p>
<p>DISPLAY:<br />
  </p>
<ul>
  <li>Display Type 9.7 inch LCD Assistive Touchscreen with 2048 x 1536 pixels<br />
  </li>
  <li>Other Display Features Retina Display, LED Backlit, Multi-touch Display with IPS </li>
  <li>Technology, Fingerprint Resistant Oleophobic Coating, Quad Core Graphics</li>
</ul>
<p>CAMERA:<br />
</p>
<ul>
  <li>Primary Camera 5 megapixels<br />
  </li>
  <li>Secondary Camera 1.2 megapixels<br />
  </li>
  <li>Video Recording Yes , Full HD Recording at 1080 x 1920</li>
</ul>
<p>BUSINESS FEATURES:<br />
</p>
<ul>
  <li>Mail Features Email<br />
  </li>
  <li>Document Support Document Viewer<br />
  </li>
  <li>Cloud Computing Support Yes<br />
  </li>
  <li>Other Business features iBook, FaceTime, Newsstand, App Store, iTunes, Game Center, Documents Supported: .jpg, .tiff, .gif, .doc, .docx, .htm, .html, .key, .numbers, .pages, .pdf, .ppt, .pptx, .txt, .rtf, .vcf, .xls, .xlsx</li>
</ul>
<p>BATTERY:<br />
</p>
<ul>
  <li>Battery Type 42.5 Watt Lithium - Polymer<br />
  </li>
  <li>Internet Browsing Time Upto 10 hrs (On Wi-Fi), Upto 9 hrs (On Mobile Data Network)<br />
  </li>
  <li>Play Time 10 hrs</li>
</ul>
<p>INTERNET CONNECTIVITY:<br />
</p>
<ul>
  <li>Wi-Fi Yes, IEEE 802.11a/b/g/n (802.11n on 2.4 GHz and 5 GHz)<br />
  </li>
  <li>3G Yes<br />
  </li>
  <li>Other Internet Connectivity Options Gprs, Edge<br />
  </li>
  <li>Pre-Installed Browser Safari</li>
</ul>
<p>MULTIMEDIA:<br />
</p>
<ul>
  <li>Video Playback Yes , Full HD Playback<br />
  </li>
  <li>Video Formats Supported MPEG-4, .mp4, .mov, H.264, .mp4, .mov, .avi, AAC-LC, .m4v, .m4v, Motion JPEG (M-JPEG)<br />
  </li>
  <li>Audio Formats Supported MP3 VBR, Audible Enhanced Audio, AAC, AAX and AAX), Protected AAC, AIFF, HE-AAC, MP3, Audible (Formats 2, 4, 3, Apple Lossless, WAV)</li>
</ul>
<p>NAVIGATION:<br />
</p>
<ul>
  <li>GPS Yes, A-GPS<br />
  </li>
  <li>Map Support Yes</li>
</ul>
<p>CONNECTIVITY:<br />
</p>
<ul>
  <li>Other Connectivity Features Lightning Connector, Charging via Power Adapter or USB to Computer System<br />
  </li>
  <li>Audio Jack 3.5 mm Headphone Jack and Yes Microphone Jack<br />
  </li>
  <li>Bluetooth v4</li>
</ul>
<p>DIMENSIONS:<br />
</p>
<ul>
  <li>Dimensions 185.7 x 241.2 x 9.4 mm<br />
  </li>
  <li>Weight 662 g</li>
</ul>
<p>WARRANTY:1 Year Warranty</p>

  </p>
<ul>
  <li>A6X Chip with Quad-Core Graphics<br />
  </li>
  <li>5MP iSight camera with 1080p HD video recording and 1.2MP FaceTime HD Camera<br />
  </li>
  <li>9.7 inch Assistive Touchscreen with Retina Display<br />
  </li>
  <li>iOS 6 Operating System and iCloud<br />
  </li>
  <li>Wi-Fi Enabled<br />
  </li>
  <li>Internal Storage of 64GB<br />
  </li>
  <li>Full HD Recording</li>
</ul>",51357,INGL3094.jpg,INGL3093 INGL3092 INGL3529
INGL3095,Electronics,"TV, Audio & Video",Samsung,SAMSUNG UA40EH5000,"<p>The Samsung UA40EH5000 LED TV has a 40 inch screen to give you an amazing widescreen experience while watching your favourite TV shows and big games. With a resolution of 1920 x 1080 pixels, you can enjoy Full HD entertainment. The Samsung UA40EH5000 also comes with a host of great audio technologies like SRS TheatreSound, Dolby Digital Plus and Dolby Pulse technologies. They will give you a cinema-like experience at home. </p>
<p>Featuring an eco sensor, the Samsung UA40EH5000 is an energy efficient LED TV. It comes with the Wide Colour Enhancer Plus technology to provide you with amazing colours when you watch TV shows. This Samsung LED TV also features Clear Motion Rate technology, a noise reduction filter and a high quality graphics engine. </p>",,53652,INGL3095.jpg,INGL 3967 INGL3968 INGL3969 INGL3970 INGL3971 INGL3966
INGL3096,Electronics,"TV, Audio & Video",Sony,Sony PS3 500GB,"<p>Now get kicking, punching, shooting, driving or mystery and puzzle solving in your very own virtual world or experience the best in HD home entertainment with the visually upgraded PlayStation 3. Developed by the world renowned electronics manufacture Sony, this is the third major variant of their highly coveted flagship console, which is lighter and slimmer than the previous PlayStation 3 Slim.</p>",,22746,INGL3096.jpg,INGL3097 INGL3098 INGL3169
INGL3097,Electronics,"TV, Audio & Video",Bose,Bose  Wave Music System,"<p>A versatile music system that plays CDs, FM/AM radio and more precise radio reception and more onscreen text information. Optional accessories, add music from your iPod, iPhone, computer and any BLUETOOTH device to the mix. </p>",,36240.6,INGL3097.jpg,INGL3059 INGL3098 INGL3169
INGL3098,Electronics,"TV, Audio & Video",Bose,Bose Bluetooth Headset Series 2,"<p>Presenting the first Bluetooth headset from Bose. Proprietary Bose technologies deliver better sound at both ends of your call, even as noise levels change. Advanced design and materials keep the headset securely and comfortably in place.</p>",,9363.6,INGL3098.jpg,INGL3097 INGL3059 INGL3169
INGL3099,Electronics,"TV, Audio & Video",Bose,Bose Mobile In-Ear 2i Headphones,"<p>Take your iPod/iPhone enjoyment to new heights with premium sound from Bose. The Bose MIE2i mobile headset is designed specifically for use with your favorite Apple products. An inline integrated remote lets you take calls on your iPhone with one-touch ease. And a three-button remote located on the reverse side of the mic provides control of your iPod, iPhone and other select Apple devices. Adjust volume, play/pause tracks, skip tracks forward/backward, fast forward/rewind, and change playlists--all while enjoying your music.</p>",,8037.6,INGL3099.jpg,INGL3097 INGL3059 INGL3169
